Feature,SHAP Value,Scaled SHAP Value
price_diff,-0.1569029009549058,0.014218985271162877
volume,0.028254710001424186,0.017530589197214046
open_price,54.95985069914879,1.0
USDZAR Curncy,0.5882438439550298,0.027546176485084888
W 1 Comdty,-0.9519114230552881,0.0
W 2 Comdty,0.3506344175624218,0.023296454827712067
WZ1 Comdty,0.8693040131796087,0.03257302877083967
YW1 Comdty,0.04553493821116901,0.017839651683421796
max_temp,0.04311067373941533,0.017796292927057526
precipitation,0.0341200256641849,0.017635492270201465
avg_temp,-0.04505428242186709,0.016219434090654128
min_temp,-0.021049696204289793,0.01664876390081306
